Atomo1,Atomo2,Ordem_Ligacao
1,2,0.5883447061936247
2,3,0.5383531469254884
3,4,0.7625820636913792
4,5,0.5383531469254843
5,6,0.588344706193628
6,1,0.5259891532234815
7,8,0.6603404321455151
8,9,0.5317971111294729
9,10,0.7397528711669099
10,11,0.531797111129478
11,12,0.660340432145512
12,7,0.4399876735334446
13,14,0.5677829166594659
14,15,0.6103488728773742
15,16,0.6765805840013424
16,17,0.6103488728773704
17,18,0.5677829166594662
18,13,0.5128325402179595
1,7,0.3754987852882322
6,12,0.37549878528823466
2,13,0.4957871907075801
5,18,0.49578719070757876
8,14,0.3883946089369248
11,17,0.38839460893692457
