Atom1,Atom2,Bond_Order
1,2,0.5626584342574824
2,3,0.5173324859878438
3,4,0.7742067146412047
4,5,0.5324115482660593
5,6,0.5840076151600161
6,1,0.5230201374883435
7,8,0.6458125685458451
8,9,0.5021543318912272
9,10,0.7596070180314318
10,11,0.5223413765396923
11,12,0.6546381063919902
12,7,0.4399925386538777
13,14,0.5519845395667229
14,15,0.5803170160454846
15,16,0.7028893016295932
16,17,0.5964697351835817
17,18,0.5596862530283246
18,13,0.5324659860391475
1,7,0.4045383781076931
6,12,0.37637758264457477
2,13,0.49249624362797645
5,18,0.4928310788156853
8,14,0.3611400929940384
11,17,0.39950688475654117
